Tv Size (Inches),OpSys,DOB,
13.3,macOS,"""22/02/2008""",5
13.3,macOS,"""27/02/2020""",8
15.6,No OS,"""18/12/2016""",1
15.4,macOS,"""03/03/1983""",23
13.3,macOS,"""20/04/2012""",30
15.6,Windows 10,"""04/03/2019""",27
15.4,Mac OS X,"""07/12/2005""",15
13.3,macOS,"""14/03/1998""",21
14,Windows 7,"""14/10/2014""",4
14,Windows 10,"""03/02/1991""",16
15.6,No OS,"""15/10/1974""",10
15.6,No OS,"""07/06/2007""",8
15.4,macOS,"""14/10/2012""",9
15.6,Windows 7,"""01/11/2012""",9
12,macOS,"""10/01/1970""",4
13.3,macOS,"""17/04/2022""",8
15.6,Windows 10,"""13/08/1986""",12
15.4,macOS,"""13/06/2001""",15
15.6,No OS,"""18/08/1992""",15
13.3,Windows 10,"""24/11/1976""",8
,,"""07/07/2012""",5
15.6,Windows 10,"""02/10/1997""",28
15.6,No OS,"""14/08/1992""",17
13.3,Windows 10,"""25/06/2018""",21
15.6,Windows 7,"""10/05/1997""",11
15.6,Windows 7,"""02/09/1980""",10
13.3,Mac OS X,"""24/09/1985""",7
15.6,Windows 10,"""15/04/1966""",10
15.6,Windows 10,"""26/10/1995""",5
17.3,Windows 10,"""04/02/2019""",6
15.6,Ubuntu,"""02/10/1973""",21
14,Windows 10,"""10/02/1977""",19
17.3,Windows 7,"""09/06/1961""",2
13.3,Windows 7,"""12/10/1984""",20
13.3,Mac OS X,"""03/09/1965""",17
14,Windows 10,"""30/05/2006""",21
15.6,Linux,"""31/08/2019""",29
17.3,Windows 10,"""22/09/1967""",7
15.6,Windows 10,"""16/08/1985""",2
15.6,Windows 10,"""03/12/1991""",8
15.6,Linux,"""25/11/1994""",25
15.6,Windows 10,"""03/08/1995""",11
15.6,Linux,"""30/07/2011""",8
15.6,Windows 10,"""14/07/2006""",8
17.3,Windows 10,"""14/03/1970""",25
13.3,macOS,"""05/11/2022""",7
,,"""31/03/1979""",2
17.3,Windows 10,"""03/10/2012""",10
15.6,Windows 10,"""01/06/1985""",30
17.3,Windows 10,"""06/05/2008""",24
,,"""08/01/2014""",17
