,city,hml,target
1,Hartford,Medium,No
2,Athens-Clarke,Low,No
3,Pasco,Low,Yes
4,Nashua,High,No
5,Bellflower,High,No
6,Kendall,Low,Yes
7,Hartford,Low,No
8,Detroit,High,No
9,Findlay,High,No
10,Bloomfield,Medium,No
11,Bellflower,Low,No
12,North Bethesda,High,No
13,Kalamazoo,High,No
14,Waterbury,Medium,No
15,Minnetonka,High,No
16,Cherry Hill,Medium,No
17,Toledo,Low,No
18,North Bethesda,High,No
19,DeKalb,High,No
20,Fort Worth,Medium,No
21,Concord,High,No
22,NA,High,No
23,Turlock,Medium,No
24,NA,High,No
25,Joliet,Medium,No
26,Cherry Hill,Medium,No
27,Hoboken,Low,No
28,Florence-Graham,Medium,No
29,Yonkers,Low,Yes
30,Findlay,NA,No
31,Elizabeth,Low,No
32,Westminster,Medium,No
33,Citrus Heights,High,No
34,Fort Smith,High,No
35,Hoboken,High,No
36,Battle Creek,High,No
37,Fort Worth,High,No
38,Bryan,Medium,No
39,Hemet,Low,Yes
40,Kendall,Medium,No
41,Joliet,Medium,No
42,Grand Island,Low,No
43,Blacksburg,Medium,No
44,Saint Louis Park,Low,No
45,Salt Lake City,Medium,No
46,Sarasota,Low,No
47,Charleston,High,No
48,Fort Myers,Medium,Yes
49,Hartford,Medium,No
50,Minnetonka,Medium,No
51,Chandler,High,No
52,Chandler,Medium,No
53,Gilbert,Medium,No
54,Cherry Hill,Low,No
55,West Sacramento,Low,No
56,Gilbert,High,No
57,NA,Low,No
58,Franconia,High,No
59,Fond du Lac,Medium,No
60,Dothan,Medium,No
61,Fort Wayne,NA,Yes
62,Hartford,Medium,No
63,Bellflower,NA,Yes
64,Mansfield,Low,Yes
65,Walnut Creek,High,No
66,Ames,Low,Yes
67,Turlock,High,No
68,Carson,High,Yes
69,Chico,Low,No
70,Boynton Beach,Low,No
71,Passaic,Medium,No
72,Joliet,Medium,Yes
73,Grand Island,Medium,No
74,Joliet,Low,Yes
75,Gilbert,Medium,No
76,Pittsburgh,Low,No
77,Findlay,High,No
78,Kendall,Low,No
79,Grand Island,Medium,No
80,Cary,Medium,No
81,Fond du Lac,Low,No
82,West Sacramento,Medium,No
83,Bellflower,Medium,No
84,Alameda,High,No
85,Bellflower,High,No
86,Yonkers,Low,No
87,Kendall,NA,No
88,West Orange,High,No
89,Hattiesburg,High,No
90,Ellicott City,Low,No
91,Indio,Medium,No
92,Bolingbrook,Medium,Yes
93,Lynwood,Medium,No
94,Glendora,Low,Yes
95,Shelby,Medium,No
96,Walnut Creek,Medium,No
97,Peoria,Low,No
98,Mansfield,Low,No
99,Wilkes-Barre,High,No
100,Westminster,Low,Yes
101,NA,High,No
102,Sioux City,High,No
103,Walnut Creek,Low,No
104,Cary,Medium,No
105,Wheaton-Glenmont,Medium,No
106,Newport News,Low,No
107,Hattiesburg,Low,No
108,San Buenaventura,Low,No
109,Dothan,High,No
110,Mansfield,Medium,No
111,Cary,High,No
112,Passaic,Low,Yes
113,NA,Medium,Yes
114,Westminster,Low,No
115,Yonkers,Low,Yes
116,Yonkers,Medium,Yes
117,Florence-Graham,Low,No
118,Alameda,High,No
119,Walnut Creek,High,No
120,Pasco,High,No
121,Austin,High,No
122,Lynwood,Low,Yes
123,Peoria,Low,No
124,NA,Low,No
125,Chandler,Medium,Yes
126,Detroit,Low,No
127,Westminster,High,No
128,Pocatello,Medium,No
129,Kalamazoo,High,No
130,Glendora,Medium,No
131,Garden Grove,Low,No
132,Woodland,High,No
133,Somerville,Low,No
134,Beaverton,High,No
135,Chandler,High,No
136,Hemet,High,No
137,Wheaton-Glenmont,Low,No
138,Concord,Medium,No
139,Chandler,Medium,No
140,Turlock,Medium,No
141,NA,High,No
142,Woodland,High,No
143,Yonkers,High,No
144,Fort Myers,Low,Yes
145,Shelby,High,No
146,Topeka,High,Yes
147,Minnetonka,High,No
148,Toledo,Medium,No
149,Athens-Clarke,Low,No
150,Broken Arrow,Low,No
151,Hilo,Low,Yes
152,Findlay,Low,No
153,Saint Louis Park,Low,No
154,Pasco,High,No
155,Joliet,Medium,No
156,Rockford,High,No
157,Pocatello,Medium,No
158,Overland Park,Medium,No
159,Woodland,High,No
160,Broken Arrow,Medium,No
161,Concord,Medium,No
162,Lynwood,Low,No
163,DeKalb,Low,Yes
164,Franconia,High,No
165,Alameda,Low,No
166,Vacaville,Medium,No
167,Kalamazoo,High,No
168,NA,NA,Yes
169,Dothan,Low,No
170,Chico,NA,No
171,San Buenaventura,High,No
172,Overland Park,Medium,No
173,NA,Low,No
174,Florence-Graham,Low,Yes
175,Sarasota,NA,No
176,NA,Medium,No
177,Bridgewater,Medium,No
178,Garden Grove,High,No
179,Westminster,High,No
180,Pearland,Medium,No
181,Beaverton,High,No
182,Peoria,Medium,No
183,Jupiter,Low,Yes
184,DeKalb,Medium,Yes
185,NA,High,No
186,Pearland,Low,No
187,Bellflower,Medium,No
188,Turlock,High,No
189,San Clemente,Medium,Yes
190,Peoria,High,No
191,Mansfield,Low,No
192,Montgomery Village,Low,No
193,Pocatello,Low,No
194,Hattiesburg,Medium,No
195,Concord,High,No
196,NA,Medium,No
197,Hartford,NA,Yes
198,Rockford,Low,Yes
199,Newport News,Low,No
200,Montgomery Village,Medium,No
201,Fort Wayne,High,No
202,Vacaville,Medium,No
203,Gilbert,Low,No
204,NA,Low,No
205,NA,Medium,No
206,Glendora,High,No
207,Cherry Hill,Low,No
208,Hattiesburg,Medium,No
209,Topeka,Low,No
210,Athens-Clarke,Medium,No
211,Elizabeth,Low,Yes
212,Eau Claire,Medium,No
213,Shelby,Medium,No
214,Concord,High,No
215,Kalamazoo,High,No
216,Detroit,NA,No
217,Hilo,Low,No
218,NA,Low,Yes
219,Passaic,NA,No
220,Franconia,High,No
221,Bloomfield,High,No
222,Mansfield,High,No
223,Pasco,Low,No
224,Cherry Hill,High,No
225,Pittsburgh,High,No
226,Ellicott City,Medium,No
227,Vacaville,Low,Yes
228,Edinburg,High,No
229,Boynton Beach,High,No
230,Alameda,Low,No
231,Turlock,Low,No
232,North Bethesda,Medium,No
233,Glendora,Low,Yes
234,Charleston,High,No
235,Florence-Graham,High,No
236,Rockford,High,No
237,Westminster,Low,No
238,Fort Smith,High,No
239,Minnetonka,Medium,No
240,Indio,Medium,No
241,Indio,Medium,Yes
242,Turlock,Low,No
243,Cary,Low,No
244,Indio,Medium,No
245,NA,Low,No
246,Crystal Lake,Medium,Yes
247,Kalamazoo,High,No
248,Westminster,Medium,No
249,Edinburg,High,No
250,Wilkes-Barre,High,No
251,Woodland,High,No
252,Pasco,Medium,No
253,Athens-Clarke,High,No
254,Overland Park,High,No
255,Hartford,High,No
256,Apple Valley,Medium,No
257,Vacaville,Medium,Yes
258,Kendall,Low,No
259,Cary,Low,Yes
260,Saint Louis Park,Low,No
261,Yonkers,Low,Yes
262,Fort Worth,Medium,No
263,Waterbury,High,No
264,Edinburg,Low,Yes
265,Rockford,Low,No
266,NA,Low,Yes
267,DeKalb,Medium,No
268,Somerville,Low,Yes
269,Dothan,Medium,No
270,Hemet,High,No
271,Waterbury,Medium,No
272,Toledo,High,No
273,Apple Valley,Low,No
274,Joliet,Low,No
275,Wheaton-Glenmont,High,No
276,Mansfield,High,No
277,Wilson,Medium,No
278,Bridgewater,Medium,No
279,Apple Valley,Medium,No
280,Watsonville,Medium,No
281,Joliet,Low,No
282,Wilkes-Barre,High,No
283,Fort Worth,Medium,Yes
284,Yonkers,Medium,No
285,NA,Medium,No
286,North Bethesda,High,No
287,Indio,High,No
288,Jupiter,Medium,No
289,Elizabeth,Medium,No
290,Jupiter,High,No
291,Wilkes-Barre,Medium,No
292,West Sacramento,Low,Yes
293,Racine,Low,No
294,Detroit,Low,Yes
295,Nashua,High,No
296,Charleston,Medium,No
297,Cary,Low,Yes
298,Pharr,High,No
299,Overland Park,Medium,No
300,Topeka,NA,Yes
301,Ellicott City,Medium,No
302,Eau Claire,High,No
303,Franconia,Low,No
304,North Bethesda,Medium,Yes
305,Kalamazoo,Low,Yes
306,Broken Arrow,Medium,No
307,Chico,Low,Yes
308,Woodland,NA,Yes
309,DeKalb,Medium,No
310,Minneapolis,Low,No
311,Garden Grove,NA,Yes
312,West Orange,Low,Yes
313,Glendora,High,No
314,Bellflower,High,No
315,Ellicott City,Medium,Yes
316,Findlay,NA,Yes
317,Wheaton-Glenmont,Medium,No
318,Wilkes-Barre,Medium,No
319,Waterbury,High,No
320,San Clemente,High,No
321,Florence-Graham,Medium,No
322,NA,Medium,Yes
323,Joliet,Medium,No
324,Fort Wayne,Medium,Yes
325,Boynton Beach,Medium,No
326,NA,High,No
327,Crystal Lake,Medium,No
328,NA,Low,No
329,Fort Smith,High,No
330,Hamilton,Low,No
331,Westland,High,No
332,Pharr,High,No
333,Dothan,Medium,No
334,Garden Grove,High,No
335,Lynwood,Low,Yes
336,Pittsburgh,NA,No
337,NA,Low,No
338,NA,Medium,No
339,Elizabeth,Low,Yes
340,Indio,Low,No
341,Gilbert,High,No
342,NA,Medium,No
343,Cherry Hill,Medium,No
344,Fort Wayne,Low,No
345,Boynton Beach,Medium,No
346,Turlock,NA,Yes
347,Carson,Medium,No
348,Indio,Low,Yes
349,Franconia,NA,Yes
350,Bloomfield,High,No
351,Joliet,Low,No
352,Pittsburgh,Low,Yes
353,Pasco,High,No
354,Nashua,Medium,No
355,Mansfield,Low,No
356,Watsonville,High,No
357,Edinburg,Low,No
358,Minneapolis,High,No
359,Cherry Hill,Medium,No
360,Fort Smith,High,No
361,Rockford,High,No
362,Waterbury,NA,No
363,Yonkers,Low,No
364,Saint Louis Park,Medium,No
365,NA,Low,No
366,Montgomery Village,Low,Yes
367,Pittsburgh,Low,No
368,Bolingbrook,High,No
369,Minneapolis,Low,No
370,Montgomery Village,Medium,No
371,Somerville,Low,No
372,Nashua,Low,No
373,Kalamazoo,High,No
374,Crystal Lake,Low,No
375,Salt Lake City,Low,No
376,Eau Claire,Low,No
377,Nashua,High,No
378,Mesa,Low,No
379,Woodland,High,No
380,Hoboken,High,No
